Subject	RunNr	FixStart	FixEnd	FixDur	XPos	YPos	RMSxy	BCEA	FixRangeX	FixRangeY
sub-025_task-EyeTracking_physio	16	-1909.548	-1717.877	191.671	1263.380	672.445	0.093	0.018	0.244	0.181
sub-025_task-EyeTracking_physio	16	-1701.210	-1217.865	483.345	1295.085	661.780	0.164	0.040	0.205	0.594
sub-025_task-EyeTracking_physio	16	-1192.864	-984.533	208.331	1321.615	674.645	0.168	0.026	0.139	0.453
sub-025_task-EyeTracking_physio	16	-959.527	-617.855	341.672	1335.270	692.650	0.128	0.053	0.317	0.418
sub-025_task-EyeTracking_physio	16	-601.189	7.156	608.345	1291.180	682.865	0.150	0.040	0.267	0.496
sub-025_task-EyeTracking_physio	16	15.489	257.162	241.673	1277.060	694.725	0.192	0.049	0.179	0.521
sub-025_task-EyeTracking_physio	16	273.829	415.498	141.669	1338.090	720.940	0.195	0.043	0.170	0.467
sub-025_task-EyeTracking_physio	16	490.504	882.178	391.674	1307.270	555.330	0.093	0.038	0.275	0.436
sub-025_task-EyeTracking_physio	16	923.842	1348.850	425.008	1122.260	734.915	0.137	0.079	0.465	0.677
sub-025_task-EyeTracking_physio	16	1390.521	1565.523	175.002	1421.635	729.910	0.126	0.033	0.312	0.264
sub-025_task-EyeTracking_physio	16	1582.189	1998.867	416.678	1554.682	733.880	0.101	0.038	0.325	0.359
sub-025_task-EyeTracking_physio	16	2048.868	2315.539	266.671	1145.898	707.923	0.137	0.074	0.334	0.630
sub-025_task-EyeTracking_physio	16	2332.208	2615.547	283.339	1102.227	717.163	0.151	0.038	0.247	0.369
sub-025_task-EyeTracking_physio	16	2640.543	2882.218	241.675	1012.845	594.300	0.133	0.041	0.229	0.484
sub-025_task-EyeTracking_physio	16	2898.885	3007.219	108.334	1031.680	585.155	0.070	0.014	0.116	0.165
sub-025_task-EyeTracking_physio	17	-1634.447	-1367.780	266.667	1247.510	682.898	0.114	0.031	0.221	0.452
sub-025_task-EyeTracking_physio	17	-1342.780	-509.432	833.348	1289.200	688.345	0.161	0.067	0.267	0.838
sub-025_task-EyeTracking_physio	17	-492.761	223.919	716.680	1275.638	714.753	0.226	0.089	0.320	0.999
sub-025_task-EyeTracking_physio	17	240.585	432.258	191.673	1334.865	715.340	0.202	0.062	0.211	0.502
sub-025_task-EyeTracking_physio	17	457.258	723.930	266.672	1194.088	677.405	0.133	0.071	0.415	0.476
sub-025_task-EyeTracking_physio	17	748.932	982.271	233.339	1095.112	750.220	0.131	0.040	0.338	0.392
sub-025_task-EyeTracking_physio	17	1215.607	1498.946	283.339	1238.582	694.033	0.105	0.092	0.351	0.651
sub-025_task-EyeTracking_physio	17	1532.278	2023.956	491.678	1605.595	681.385	0.107	0.039	0.337	0.395
sub-025_task-EyeTracking_physio	17	2057.292	2298.966	241.674	1499.900	866.840	0.157	0.033	0.183	0.396
sub-025_task-EyeTracking_physio	17	2348.964	2707.303	358.339	1180.760	941.395	0.290	0.347	1.322	1.347
sub-025_task-EyeTracking_physio	17	2848.973	3007.309	158.336	987.440	573.970	0.096	0.026	0.239	0.215
sub-025_task-EyeTracking_physio	18	-1250.685	-1025.678	225.007	1294.480	707.335	1.101	12.187	5.726	4.276
sub-025_task-EyeTracking_physio	18	-1009.011	-759.008	250.003	1280.505	677.225	0.107	0.048	0.247	0.431
sub-025_task-EyeTracking_physio	18	-742.342	-575.670	166.672	1298.212	676.020	0.110	0.043	0.289	0.377
sub-025_task-EyeTracking_physio	18	-567.337	116.006	683.343	1283.585	683.245	0.105	0.062	0.274	0.831
sub-025_task-EyeTracking_physio	18	149.343	482.680	333.337	1321.017	712.390	0.209	0.051	0.191	0.603
sub-025_task-EyeTracking_physio	18	507.682	891.023	383.341	1193.077	751.053	0.090	0.037	0.320	0.363
sub-025_task-EyeTracking_physio	18	932.687	1174.361	241.674	1422.575	851.705	0.138	0.036	0.253	0.322
sub-025_task-EyeTracking_physio	18	1282.699	1741.041	458.342	1634.940	691.635	0.099	0.037	0.244	0.413
sub-025_task-EyeTracking_physio	18	1782.706	2166.049	383.343	1368.210	731.483	0.096	0.031	0.210	0.434
sub-025_task-EyeTracking_physio	18	2191.049	2349.381	158.332	1334.685	718.205	0.109	0.025	0.214	0.220
sub-025_task-EyeTracking_physio	18	2382.719	2607.722	225.003	1141.780	743.370	0.112	0.020	0.212	0.188
sub-025_task-EyeTracking_physio	18	2632.721	3007.733	375.012	954.870	729.450	0.133	0.232	0.592	0.856
sub-025_task-EyeTracking_physio	19	-1500.958	-1342.623	158.335	1270.460	856.680	1.128	9.636	3.048	6.290
sub-025_task-EyeTracking_physio	19	-1309.290	224.073	1533.363	1287.765	716.530	0.214	0.205	0.586	1.113
sub-025_task-EyeTracking_physio	19	240.739	574.083	333.344	1327.720	737.220	0.138	0.082	0.394	0.556
